Authors,Author(s)ID,Title,Year,Sourcetitle,Volume,Issue,Art.No.,Pagestart,Pageend,Pagecount,Citedby,DOI,Link,DocumentType,PublicationStage,AccessType,Source,EID
"Sondhi, G.",57189672334,Tapeworm parasites of dogs in the punjab,1923,Parasitology,15,1,,59,66,,1,10.1017/S0031182000014529,https://www.scopus.com/inward/record.url?eid=2-s2.0-2542621622&partnerID=40&md5=c8c3a54e9fb7ad82aaf950b998f584b8,Article,Final,,Scopus,2-s2.0-2542621622
"Lorimer, D.L.R.",56951515700,Notes on the Phonetics of the Gilgit Dialect of Shina,1924,Journal of the Royal Asiatic Society of Great Britain &amp; Ireland,56,2,,177,212,,,10.1017/S0035869X00064005,https://www.scopus.com/inward/record.url?eid=2-s2.0-84973988929&partnerID=40&md5=20159b0545d349f518e1af002017a020,Article,Final,,Scopus,2-s2.0-84973988929
"Wilsdon, B.H.",23079100200,A physical theory of soil moisture relations,1924,The Journal of Agricultural Science,14,4,,473,489,,,10.1017/S0021859600003907,https://www.scopus.com/inward/record.url?eid=2-s2.0-84958446587&partnerID=40&md5=626bd0c48ab160a600643f7a79aa4b15,Article,Final,,Scopus,2-s2.0-84958446587
"Dunnicliff, H.B.",16065455500,Note. the estimation of carbonates in highly coloured liquids,1924,The Analyst,49,582,,426,428,,,10.1039/AN9244900426,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049160217&partnerID=40&md5=399025bedf04145bf4a0d18e7d49d8c7,Article,Final,,Scopus,2-s2.0-37049160217
"Bhatia, B.L., Setna, S.",24771280000; 35935772000,On some new cephaline gregarines,1924,Parasitology,16,3,,279,288,,12,10.1017/S0031182000020114,https://www.scopus.com/inward/record.url?eid=2-s2.0-0037661826&partnerID=40&md5=0b715bf2f0c3f65d9e01d70ab1630d81,Article,Final,,Scopus,2-s2.0-0037661826
"Singh, M., Singh, R.",23078192400; 37041395300,CCLXIII. - Carboxycamphoranilic acids,1925,"Journal of the Chemical Society, Transactions",127,,,1966,1968,,,10.1039/CT9252701966,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049175473&partnerID=40&md5=600b5f720896b1819ec2d2d02f4976b9,Article,Final,,Scopus,2-s2.0-37049175473
"Chambers, C.B.G.",57190456308,THE FRONTIERS OF AFGHANISTAN,1925,The Muslim World,15,3,,240,253,,,10.1111/j.1478-1913.1925.tb00573.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84980095139&partnerID=40&md5=b44a3560ef9104ae202c8760dfdea96c,Article,Final,,Scopus,2-s2.0-84980095139
"Seth, J.B.",16653078100,A method of determining the frequency of a tuning fork [8],1925,Nature,115,2896,,641,,,,10.1038/115641a0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149184661&partnerID=40&md5=3b8525045ed06eb6e7fc3025d496cdfd,Letter,Final,,Scopus,2-s2.0-51149184661
"Dunnicliff, H.B.",16065455500,The determination of sulphates in guncotton,1925,The Analyst,50,596,,543,547,,3,10.1039/AN9255000543,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049149701&partnerID=40&md5=366c641850b01d250bba76de3ff21d04,Conference Paper,Final,,Scopus,2-s2.0-37049149701
"Jajnik, N.A., Ilahi, B.",16664746100; 16664742000,Das Emulgierungsvermögen von Natriumstearat und Natriumpalmitat,1925,Kolloid-Zeitschrift,37,3,,139,144,,,10.1007/BF01433153,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347105946&partnerID=40&md5=131d0bd87cebeb84d7e5a030ae4ab143,Article,Final,,Scopus,2-s2.0-34347105946
