Paper,ResearchersIDs
Paper_1966_21,7801554254
Paper_1966_23,6603371692
Paper_1966_23,16546947900
Paper_1966_23,7402830874
Paper_1966_32,7101849511
Paper_1966_32,7102299911
Paper_1966_32,14067215000
Paper_1966_40,7003915095
Paper_1966_40,7801641725
Paper_1966_40,7007131430
Paper_1966_47,24609042700
Paper_1966_47,24608718800
Paper_1966_47,24612895800
Paper_1966_50,24609042700
Paper_1966_50,24608718800
Paper_1966_50,24612419700
Paper_1966_53,24592474800
Paper_1966_53,24610298200
Paper_1966_53,56581725100
Paper_1966_60,11041739300
Paper_1966_60,22987302800
Paper_1966_60,22971396300
Paper_1966_67,7102598618
Paper_1966_67,55342533200
Paper_1966_67,57166425900
Paper_1967_10,16471495400
Paper_1967_10,6701605684
Paper_1967_10,16503235200
Paper_1967_18,55400714200
Paper_1967_18,7005373696
Paper_1967_18,6508197035
Paper_1967_27,6603483661
Paper_1967_27,7402405001
Paper_1967_27,55334008100
Paper_1967_33,7005867288
Paper_1967_33,35385909000
Paper_1967_33,56975177500
Paper_1967_34,7005867288
Paper_1967_34,7005705772
Paper_1967_34,56975231500
Paper_1967_35,57190711990
Paper_1967_35,57190708422
Paper_1967_35,24763981400
Paper_1967_36,57190709849
Paper_1967_36,57190711297
Paper_1967_36,57190710441
Paper_1967_43,56930985500
Paper_1967_43,56931143700
Paper_1967_43,56930744200
Paper_1967_45,7005867288
Paper_1967_45,35385909000
Paper_1967_45,56975177500
Paper_1967_46,7005867288
Paper_1967_46,7005705772
Paper_1967_46,56975231500
Paper_1967_47,24592474800
Paper_1967_47,57201928070
Paper_1967_47,24611576200
Paper_1967_50,7101647523
Paper_1967_50,24612661300
Paper_1967_50,36870257500
Paper_1967_52,23062828500
Paper_1967_52,56581725100
Paper_1967_52,57196730759
Paper_1967_53,24592474800
Paper_1967_53,56581725100
Paper_1967_53,57196730759
Paper_1967_62,7004536245
Paper_1967_62,6602720412
Paper_1967_62,6603661730
Paper_1967_71,56315154600
Paper_1967_71,16035517500
Paper_1967_71,36740282800
Paper_1967_74,24592697100
Paper_1967_74,7006129225
Paper_1967_74,24593423600
Paper_1967_77,7102034654
Paper_1967_77,7005990154
Paper_1967_77,7202344006
Paper_1967_79,57208458873
Paper_1967_79,23063565600
Paper_1967_79,55254319000
Paper_1968_100,57189415653
Paper_1968_100,7202663499
Paper_1968_100,16422198100
Paper_1968_28,35422029300
Paper_1968_28,22962340500
Paper_1968_28,6701365313
Paper_1968_3,57197981009
Paper_1968_3,7401834703
Paper_1968_3,56316939600
Paper_1968_31,16536051800
Paper_1968_31,16048910600
Paper_1968_31,7006510520
Paper_1968_41,24609042700
Paper_1968_41,24608718800
Paper_1968_41,24607480400
Paper_1968_43,56244604200
Paper_1968_43,22983278300
Paper_1968_43,24539589800
Paper_1968_44,7101849511
Paper_1968_44,7102299911
Paper_1968_44,16537130000
Paper_1968_45,7101849511
Paper_1968_45,16048910600
Paper_1968_45,7006510520
Paper_1968_47,7101849511
Paper_1968_47,16528783500
Paper_1968_47,7102299911
Paper_1968_49,7003389899
Paper_1968_49,55333923600
Paper_1968_49,6603575096
Paper_1968_56,57208974374
Paper_1968_56,7101802861
Paper_1968_56,24794211400
Paper_1968_58,7101849511
Paper_1968_58,7006510520
Paper_1968_58,16524207600
Paper_1968_63,36153328200
Paper_1968_63,7004233562
Paper_1968_63,6603101168
Paper_1968_64,24549498900
Paper_1968_64,24607739600
Paper_1968_64,16673865300
Paper_1968_65,7404133929
Paper_1968_65,57199119495
Paper_1968_65,6701759124
Paper_1968_73,56895255300
Paper_1968_73,56895272000
Paper_1968_73,57209019011
Paper_1968_83,6602831196
Paper_1968_83,7005075292
Paper_1968_83,7801623311
Paper_1968_88,7102525911
Paper_1968_88,7102456532
Paper_1968_88,57196794022
Paper_1968_92,36497961700
Paper_1968_92,57189412138
Paper_1968_92,7004000042
Paper_1968_96,16035624800
Paper_1968_96,23038539500
Paper_1968_96,7005458041
Paper_1968_97,16529014400
Paper_1968_97,6504282968
Paper_1968_97,6603743223
Paper_1969_10,22982693200
Paper_1969_10,7202040875
Paper_1969_10,35422029300
Paper_1969_100,57199763074
Paper_1969_100,7007015694
Paper_1969_100,7005604556
Paper_1969_11,56289716700
Paper_1969_11,24539589800
Paper_1969_11,56244604200
Paper_1969_21,7101849511
Paper_1969_21,16524207600
Paper_1969_21,56694517300
Paper_1969_22,7101849511
Paper_1969_22,16528974000
Paper_1969_22,16528783500
Paper_1969_23,57199810234
Paper_1969_23,24557530300
Paper_1969_23,7005352838
Paper_1969_31,7101849511
Paper_1969_31,16528783500
Paper_1969_31,16528974000
Paper_1969_34,16471495400
Paper_1969_34,6701605684
Paper_1969_34,16503235200
Paper_1969_37,7101849511
Paper_1969_37,16531776400
Paper_1969_37,16048910600
Paper_1969_38,7404133929
Paper_1969_38,24602726100
Paper_1969_38,6701759124
Paper_1969_40,7101849511
Paper_1969_40,16048910600
Paper_1969_40,7006510520
Paper_1969_45,7101849511
Paper_1969_45,16524207600
Paper_1969_45,56694517300
Paper_1969_47,6507085062
Paper_1969_47,16518190100
Paper_1969_47,6506736029
Paper_1969_5,24539589800
Paper_1969_5,56244604200
Paper_1969_5,56289716700
Paper_1969_57,16529014400
Paper_1969_57,57189197980
Paper_1969_57,56241820400
Paper_1969_7,16531980100
Paper_1969_7,56240658600
Paper_1969_7,56132239900
Paper_1969_85,57207550144
Paper_1969_85,56303272700
Paper_1969_85,6506434656
Paper_1969_86,56330459400
Paper_1969_86,57188787421
Paper_1969_86,7006164667
Paper_1970_1,7006069893
Paper_1970_1,7102958606
Paper_1970_1,6504516550
Paper_1970_104,7006039545
Paper_1970_104,56781970300
Paper_1970_104,7005027148
Paper_1970_11,7005867288
Paper_1970_11,7103307446
Paper_1970_11,7005705772
Paper_1970_111,7101686932
Paper_1970_111,6602831196
Paper_1970_111,7401797596
Paper_1970_114,7004260969
Paper_1970_114,7101716340
Paper_1970_114,7005998169
Paper_1970_115,22970196800
Paper_1970_115,57206312213
Paper_1970_115,56258917300
Paper_1970_117,7006385370
Paper_1970_117,7601533750
Paper_1970_117,36506900300
Paper_1970_119,55462217800
Paper_1970_119,24583550800
Paper_1970_119,7005771356
Paper_1970_15,56221921300
Paper_1970_15,24797132700
Paper_1970_15,24796345700
Paper_1970_16,24600906100
Paper_1970_16,6602720412
Paper_1970_16,6603661730
Paper_1970_21,6506780699
Paper_1970_21,57199975971
Paper_1970_21,24600265300
Paper_1970_23,57189164704
Paper_1970_23,56132144200
Paper_1970_23,56333848500
Paper_1970_24,36843377900
Paper_1970_24,7102751809
Paper_1970_24,57196764746
Paper_1970_3,24795921100
Paper_1970_3,56221921300
Paper_1970_3,24797132700
Paper_1970_31,56289716700
Paper_1970_31,24539589800
Paper_1970_31,56244604200
Paper_1970_48,57204770109
Paper_1970_48,7005183172
Paper_1970_48,57207550144
Paper_1970_58,57166968800
Paper_1970_58,57167899500
Paper_1970_58,6602717984
Paper_1970_72,57166968800
Paper_1970_72,57167891300
Paper_1970_72,6602717984
Paper_1970_77,56289716700
Paper_1970_77,24539589800
Paper_1970_77,56244604200
Paper_1970_86,56662326800
Paper_1970_86,7005352838
Paper_1970_86,7005571504
Paper_1970_95,7202086785
Paper_1970_95,55724004000
Paper_1970_95,22976973700
Paper_1970_96,22974051800
Paper_1970_96,24539589800
Paper_1970_96,56244604200
Paper_1971_103,7404219932
Paper_1971_103,24496975900
Paper_1971_103,36768719800
Paper_1971_104,7003818272
Paper_1971_104,57166882800
Paper_1971_104,7406082477
Paper_1971_15,55161140400
Paper_1971_15,24796092000
Paper_1971_15,24793363600
Paper_1971_16,57201786307
Paper_1971_16,57202063883
Paper_1971_16,57199763403
Paper_1971_20,7404133929
Paper_1971_20,6701759124
Paper_1971_20,22975786200
Paper_1971_28,57206671860
Paper_1971_28,55924265500
Paper_1971_28,7202512328
Paper_1971_3,36954012400
Paper_1971_3,16431268800
Paper_1971_3,56265163000
Paper_1971_31,57189164704
Paper_1971_31,56467419100
Paper_1971_31,56333848500
Paper_1971_37,6701759124
Paper_1971_37,22962589100
Paper_1971_37,7201721076
Paper_1971_39,57195044563
Paper_1971_39,57195042955
Paper_1971_39,57191820856
Paper_1971_50,7101849511
Paper_1971_50,16531357500
Paper_1971_50,16528783500
Paper_1971_54,56187395100
Paper_1971_54,24607707300
Paper_1971_54,7801554254
Paper_1971_60,16521796000
Paper_1971_60,24585578800
Paper_1971_60,16525109700
Paper_1971_64,7404219932
Paper_1971_64,24496975900
Paper_1971_64,36768719800
Paper_1971_68,7005985152
Paper_1971_68,24583255000
Paper_1971_68,7006107902
Paper_1971_70,6507686571
Paper_1971_70,56694123700
Paper_1971_70,55447108400
Paper_1971_83,56286236900
Paper_1971_83,22973878100
Paper_1971_83,7801554254
Paper_1971_86,16525466200
Paper_1971_86,6506143891
Paper_1971_86,57192045643
Paper_1971_89,24585935400
Paper_1971_89,7102829870
Paper_1971_89,7202736801
Paper_1971_90,57190084364
Paper_1971_90,7102113445
Paper_1971_90,57195041710
Paper_1971_98,7004597711
Paper_1971_98,7004931672
Paper_1971_98,6603682186
Paper_1972_104,57192777667
Paper_1972_104,13002570800
Paper_1972_104,57197011489
Paper_1972_105,7004393286
Paper_1972_105,57189171910
Paper_1972_105,57207751171
Paper_1972_107,7102076182
Paper_1972_107,7005630986
Paper_1972_107,7402688838
Paper_1972_13,56917976900
Paper_1972_13,7102767935
Paper_1972_13,6603661730
Paper_1972_14,56917976900
Paper_1972_14,7102767935
Paper_1972_14,6603661730
Paper_1972_16,16524998300
Paper_1972_16,55400011000
Paper_1972_16,56330486000
Paper_1972_20,7102594316
Paper_1972_20,7102767935
Paper_1972_20,6603661730
Paper_1972_33,16524451900
Paper_1972_33,35312911200
Paper_1972_33,16524070700
Paper_1972_34,55351277200
Paper_1972_34,55350721200
Paper_1972_34,55351242100
Paper_1972_35,6507763433
Paper_1972_35,7101670226
Paper_1972_35,7005639607
Paper_1972_38,36814666600
Paper_1972_38,57195044913
Paper_1972_38,57195045187
Paper_1972_43,57153006100
Paper_1972_43,57189678986
Paper_1972_43,57189678193
Paper_1972_53,7101849511
Paper_1972_53,16531357500
Paper_1972_53,16524207600
Paper_1972_58,6602648634
Paper_1972_58,24571223400
Paper_1972_58,6507347551
Paper_1972_62,6701848653
Paper_1972_62,24582742900
Paper_1972_62,7409908956
Paper_1972_66,7403344981
Paper_1972_66,6603086575
Paper_1972_66,24581731500
Paper_1972_84,24496975900
Paper_1972_84,7404219932
Paper_1972_84,56250856100
Paper_1972_90,55628544967
Paper_1972_90,55729247700
Paper_1972_90,24794301400
Paper_1972_96,7202086785
Paper_1972_96,22973878100
Paper_1972_96,36931693400
Paper_1973_110,57206291365
Paper_1973_110,7005127409
Paper_1973_110,6603340663
Paper_1973_118,7004073507
Paper_1973_118,56289729300
Paper_1973_118,55290124000
Paper_1973_141,55122139600
Paper_1973_141,57199444634
Paper_1973_141,36728289100
Paper_1973_150,57043044500
Paper_1973_150,7406238309
Paper_1973_150,6602215573
Paper_1973_29,16521796000
Paper_1973_29,57197413394
Paper_1973_29,57065312600
Paper_1973_37,57005287600
Paper_1973_37,7004319498
Paper_1973_37,24567180900
Paper_1973_39,56983163700
Paper_1973_39,16516319000
Paper_1973_39,57197536035
Paper_1973_42,57199975932
Paper_1973_42,6506780699
Paper_1973_42,7402896037
Paper_1973_43,7201417203
Paper_1973_43,6602759072
Paper_1973_43,56289733800
Paper_1973_46,36153328200
Paper_1973_46,7004233562
Paper_1973_46,57195042777
Paper_1973_6,6603477327
Paper_1973_6,24496975900
Paper_1973_6,7404219932
Paper_1973_66,16516319000
Paper_1973_66,56983163700
Paper_1973_66,57197536035
Paper_1973_70,6507378883
Paper_1973_70,6603656870
Paper_1973_70,24561606800
Paper_1973_71,7005985152
Paper_1973_71,24583255000
Paper_1973_71,7006107902
Paper_1973_72,6602717984
Paper_1973_72,7401492895
Paper_1973_72,7003398471
Paper_1973_74,24496975900
Paper_1973_74,56250856100
Paper_1973_74,7404219932
Paper_1973_79,7102567875
Paper_1973_79,7005639607
Paper_1973_79,6507824162
Paper_1973_90,6701579686
Paper_1973_90,6505990963
Paper_1973_90,7004579814
Paper_1973_95,56456530800
Paper_1973_95,54891911500
Paper_1973_95,6503947016
Paper_1974_100,57198264295
Paper_1974_100,7005639607
Paper_1974_100,6506112194
Paper_1974_108,7004078754
Paper_1974_108,6603190476
Paper_1974_108,6602785379
Paper_1974_114,7005936522
Paper_1974_114,7004239145
Paper_1974_114,57197685064
Paper_1974_117,7409590802
Paper_1974_117,36897493200
Paper_1974_117,7203073446
Paper_1974_127,56983163700
Paper_1974_127,16516319000
Paper_1974_127,6507285465
Paper_1974_136,22974051800
Paper_1974_136,7801554254
Paper_1974_136,56187395100
Paper_1974_140,7005831922
Paper_1974_140,6602622314
Paper_1974_140,7102196019
Paper_1974_147,7203010593
Paper_1974_147,24570625200
Paper_1974_147,24570459200
Paper_1974_15,7410360786
Paper_1974_15,57203030685
Paper_1974_15,7201739231
Paper_1974_150,7004991528
Paper_1974_150,7801445070
Paper_1974_150,6603694713
Paper_1974_154,7006495858
Paper_1974_154,56132288300
Paper_1974_154,7101793328
Paper_1974_16,15082608400
Paper_1974_16,7004412571
Paper_1974_16,6603086575
Paper_1974_24,24796345700
Paper_1974_24,24793807900
Paper_1974_24,56221921300
Paper_1974_27,6507226467
Paper_1974_27,54891714500
Paper_1974_27,56242205200
Paper_1974_49,56221921300
Paper_1974_49,24797132700
Paper_1974_49,24793854100
Paper_1974_57,57196557031
Paper_1974_57,56289734500
Paper_1974_57,7201433947
Paper_1974_59,16511325400
Paper_1974_59,16502143000
Paper_1974_59,57193359082
Paper_1974_61,16511325400
Paper_1974_61,16502143000
Paper_1974_61,57013000200
Paper_1974_64,57197386620
Paper_1974_64,7005797819
Paper_1974_64,7102307568
Paper_1974_65,13606505900
Paper_1974_65,57197969707
Paper_1974_65,35379127700
Paper_1974_69,7101670226
Paper_1974_69,7005639607
Paper_1974_69,6505748548
Paper_1974_73,7006697024
Paper_1974_73,6603051053
Paper_1974_73,6603626374
Paper_1974_85,7402472832
Paper_1974_85,7005639607
Paper_1974_85,7005936522
Paper_1974_86,7102951144
Paper_1974_86,6603332412
Paper_1974_86,12782641100
Paper_1974_89,6603227679
Paper_1974_89,7003389900
Paper_1974_89,7005241770
Paper_1974_99,7005992757
Paper_1974_99,36896051900
Paper_1974_99,7101934459
Paper_1975_109,12787493200
Paper_1975_109,6505575089
Paper_1975_109,24565530400
Paper_1975_110,7004039867
Paper_1975_110,6603837057
Paper_1975_110,7201878488
Paper_1975_111,6602232599
Paper_1975_111,7005936522
Paper_1975_111,56456530800
Paper_1975_118,57189446742
Paper_1975_118,7401888869
Paper_1975_118,6602363111
Paper_1975_122,57189200756
Paper_1975_122,6603638931
Paper_1975_122,7101793328
Paper_1975_128,7202859472
