Authors,Author(s)ID,Title,Year,Sourcetitle,Volume,Issue,Art.No.,Pagestart,Pageend,Pagecount,Citedby,DOI,Link,DocumentType,PublicationStage,AccessType,Source,EID
"Mahal, H.S., Venkataraman, K.",23077226800; 57208848277,Synthetical experiments in the chromone group. Part XIV. The action of sodamide on 1-acyloxy-2-acetonaphthones,1934,Journal of the Chemical Society (Resumed),,,,1767,1769,,162,,https://www.scopus.com/inward/record.url?eid=2-s2.0-0242435492&partnerID=40&md5=fd2f9ba9db8baf3d72d4b7f162a47991,Article,Final,,Scopus,2-s2.0-0242435492
"Vaidhianathan, V.I., Luthra, H.R., Bose, N.K.",26631305900; 23002045700; 36110655100,A hydrodynamical investigation of the sub-soil flow from canal beds by means of models,1934,Proceedings of the Indian Academy of Sciences - Section A,1,5,,325,332,,,10.1007/BF03035574,https://www.scopus.com/inward/record.url?eid=2-s2.0-65749316646&partnerID=40&md5=947df44565681f6ebf411cc5f4c2bfca,Article,Final,,Scopus,2-s2.0-65749316646
"Fretz, W.L.",57189158004,Blood Transfusion in Puerperal Sepsis,1934,British Medical Journal,1,3809,,34,,,,10.1136/bmj.1.3809.34-b,https://www.scopus.com/inward/record.url?eid=2-s2.0-84965352445&partnerID=40&md5=9de80ebc0fce46510562a52574044c33,Letter,Final,,Scopus,2-s2.0-84965352445
"White, H.D.",57199362799,Haberler's der internationale handel ohlin's interregional and international trade,1934,Quarterly Journal of Economics,48,4,,727,741,,1,10.2307/1883548,https://www.scopus.com/inward/record.url?eid=2-s2.0-84963032998&partnerID=40&md5=0fe331f41283c8c06d514d41d5c09d30,Article,Final,,Scopus,2-s2.0-84963032998
"Mahal, H.S., Rai, H.S., Venkataraman, K.",23077226800; 23078294800; 57208848277,"Synthetical experiments in the chromone group. Part XV. A synthesis of formononetin, daidzein, and ?-baptigenin",1934,Journal of the Chemical Society (Resumed),,,,1769,1771,,7,10.1039/JR9340001769,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049161430&partnerID=40&md5=b955023d08310e24798bbdce3f8d9509,Article,Final,,Scopus,2-s2.0-37049161430
"Mohunta, L.M., Rây, J.N.",23077302800; 16051184000,Experiments on the synthesis of santene and its derivatives. Part I,1934,Journal of the Chemical Society (Resumed),,,,1328,1329,,1,10.1039/JR9340001328,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049146786&partnerID=40&md5=bc3dc97ccd6bde4a23bde0dc1c88f6d2,Article,Final,,Scopus,2-s2.0-37049146786
"Mahal, H.S., Rai, H.S., Venkataraman, K.",23077226800; 23078294800; 57208848277,Synthetical experiments in the chromone group. Part XII. Synthesis of 7-hydroxyisoflavone and of ?- and ?-naphthaisoflavone,1934,Journal of the Chemical Society (Resumed),,,,1120,1122,,12,10.1039/JR9340001120,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049144146&partnerID=40&md5=706e9ef6798cd2800d006e6ea0202813,Article,Final,,Scopus,2-s2.0-37049144146
"Bhatnagar, S.S., Nevgi, M.B., Khanna, M.L.",55429686600; 16651007700; 16650656700,Temperatur und Diamagnetismus - I. Teil. Die SuszeptibilitÄten einiger aromatischer Flüssigkeiten,1934,Zeitschrift für Physik,89,8-Jul,,506,512,,,10.1007/BF01341322,https://www.scopus.com/inward/record.url?eid=2-s2.0-34250925417&partnerID=40&md5=67226680e04ffb1300a49c8eb77a5ddd,Article,Final,,Scopus,2-s2.0-34250925417
"Mohunta, L.M., Ray, J.N.",23077302800; 16051184000,Experiments on the synthesis of isoquinoline derivatives. Part III. A synthesis of corydaldine,1934,Journal of the Chemical Society (Resumed),,,,1263,1264,,6,10.1039/JR9340001263,https://www.scopus.com/inward/record.url?eid=2-s2.0-12744265632&partnerID=40&md5=c470c2b54ab524bf08cc0f053d572b58,Article,Final,,Scopus,2-s2.0-12744265632
"Vaidhianathan, V.I., Ram, G., Taylor, E.M.",26631305900; 26630872400; 35935556900,Uplift pressure on weirs - A floor with a line of sheet piles,1935,Proceedings of the Indian Academy of Sciences - Section A,2,6,,646,655,,,10.1007/BF03046001,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951507034&partnerID=40&md5=3e3b13da5dacb14485f27d68076d7f35,Article,Final,,Scopus,2-s2.0-77951507034
"Bhalla, D.C., Mahal, H.S., Venkataraman, K.",23075653800; 23077226800; 57208848277,Synthetical experiments in the chromone group. Part XVII. Further observations on the action of sodamide on o-acyloxyacetophenous,1935,Journal of the Chemical Society (Resumed),,,,868,870,,9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049165070&partnerID=40&md5=b65614bebdfa942104ffc88e921320d0,Article,Final,,Scopus,2-s2.0-37049165070
"Mahal, H.S., Rai, H.S., Venkataraman, K.",23077226800; 23078294800; 57208848277,Synthetical experiments in the chromone group. Part XVI. Chalkones and flavanones and their oxidation to flavones by means of selenium dioxide,1935,Journal of the Chemical Society (Resumed),,,,866,868,,40,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049150684&partnerID=40&md5=84ac3151c24b955234e7e5503f380124,Article,Final,,Scopus,2-s2.0-37049150684
"Yajnik, N.A., Goyle, D.N., Verma, J.D., Rampal, C.L.",16051111300; 16663666900; 16667875800; 16665899400,Untersuchungen über einige Eigenschaften von Gelen,1935,Kolloid-Zeitschrift,73,1,,57,67,,,10.1007/BF01436401,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347107936&partnerID=40&md5=bfcabf81d1445a5d8e0ac35fc6ace07d,Article,Final,,Scopus,2-s2.0-34347107936
"Ram, G., Vaidhianathan, V.I., Mckenzie Taylor, E.",26630872400; 26631305900; 24770486500,Potential distribution in infinite conductors and uplift pressure on dams,1935,Proceedings of the Indian Academy of Sciences - Section A,2,1,,22,29,,,10.1007/BF03035780,https://www.scopus.com/inward/record.url?eid=2-s2.0-65749315787&partnerID=40&md5=d8a9cf0158f8ade85647c7c3fe43f44f,Article,Final,,Scopus,2-s2.0-65749315787
"Joshi, P.C.",35934532800,"Development of anomalous secondary vascular rings in the root of Spergula, L.",1935,Proceedings of the Indian Academy of Sciences - Section B,1,11,,729,735,,,10.1007/BF03050572,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951500538&partnerID=40&md5=93cf8d70c5474ff8c7dc921e9ae7adf6,Article,Final,,Scopus,2-s2.0-77951500538
"Chaudhuri, H.",35933989400,A bacterial disease of wheat in the Punjab,1935,Proceedings of the Indian Academy of Sciences - Section B,1,10,,579,585,,2,10.1007/BF03039775,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951503600&partnerID=40&md5=a237d8d2cfb81e1be63681e9f1efbb59,Article,Final,,Scopus,2-s2.0-77951503600
"Seth, J.B.",16653078100,A regularity observed in the second spark spectrum of iodine,1935,Proceedings of the Indian Academy of Sciences - Section A,1,9,,593,604,,1,10.1007/BF03035613,https://www.scopus.com/inward/record.url?eid=2-s2.0-65749321878&partnerID=40&md5=e869cb83519f715fcdf578ec65ab477b,Article,Final,,Scopus,2-s2.0-65749321878
"Haviland Minchin, R.L.",55291067300,BLOOD-STAINED TEARS,1935,The Lancet,225,5812,,179,,,2,10.1016/S0140-6736(01)28467-0,https://www.scopus.com/inward/record.url?eid=2-s2.0-50249213698&partnerID=40&md5=400ba75fc5068e09e48b652d6be1ea43,Letter,Final,,Scopus,2-s2.0-50249213698
"Yajnik, N.A., Goyle, D.N., Wadhera, M.L.",16051111300; 16663666900; 57190915820,Die Inversion von Rohrzuckerlösung im tropischen Sonnenlicht,1935,Zeitschrift für anorganische und allgemeine Chemie,225,1,,24,28,,,10.1002/zaac.19352250103,https://www.scopus.com/inward/record.url?eid=2-s2.0-84984108926&partnerID=40&md5=9de4c29a79bd7dd81186cfccf2f9676d,Article,Final,,Scopus,2-s2.0-84984108926
"Seth, J.B.",16653078100,Spectrum of doubly ionised iodine [10],1935,Nature,135,3407,,269,,,,10.1038/135269a0,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149175479&partnerID=40&md5=d43d0217b18497bd41772e1e41ac1bb5,Letter,Final,,Scopus,2-s2.0-51149175479
"Rây, J.N., Silooja, S.S., Vaid, V.R.",16051184000; 23078670000; 23079034500,Experiments on the synthesis of bergapten and its derivatives. Part I. Furocoumarins,1935,Journal of the Chemical Society (Resumed),,,,813,816,,11,10.1039/JR9350000813,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049171682&partnerID=40&md5=1041a0bb896e311d446eb19a1afa5199,Article,Final,,Scopus,2-s2.0-37049171682
"Juneja, H.R., Narang, K.S., Rây, J.N.",36810517400; 23077880200; 16051184000,The constitution of vasicine,1935,Journal of the Chemical Society (Resumed),,,,1277,1279,,2,10.1039/JR9350001277,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049144406&partnerID=40&md5=9145931dd987fd9b8e59b9d72515a8cd,Article,Final,,Scopus,2-s2.0-37049144406
"Dunnicliff, H.B., Kotwani, G.S., Hamid, M.A.",16065455500; 16065525800; 23076742900,The action of hydrogen sulfide on chromates: Potassium dichromate,1935,Journal of Physical Chemistry,39,8,,1217,1229,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33947560195&partnerID=40&md5=c72daf4743191a6211386cb7351db3b0,Article,Final,,Scopus,2-s2.0-33947560195
"Chowla, S.",35933858000,On a relation between two conjectures of the theory of numbers,1936,Proceedings of the Indian Academy of Sciences - Section A,4,6,,652,653,,,10.1007/BF03045340,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951507394&partnerID=40&md5=58ad96517dd7fe31fbaf5f9e7d0d2820,Article,Final,,Scopus,2-s2.0-77951507394
"Chowla, I.",35934024400,The number of solutions of a congruence in two variables,1936,Proceedings of the Indian Academy of Sciences - Section A,4,6,,654,655,,,10.1007/BF03045341,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951507116&partnerID=40&md5=b550b3d6f5c2f6c61f3fafbd9ec5b771,Article,Final,,Scopus,2-s2.0-77951507116
"Joshi, P.C.",35934532800,Some phases of the life-history of two Tibetan caryophyllaceÆ-Arenaria musciformis Wall. and Thylacospermum rupifragum Schrenk,1936,Proceedings of the Indian Academy of Sciences - Section B,4,6,,471,482,,,10.1007/BF03051420,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951504996&partnerID=40&md5=943b405e70a6767b54f8fcc4f608e499,Article,Final,,Scopus,2-s2.0-77951504996
"Narang, K.S., Ray, J.N.",23077880200; 16051184000,The electrolytic reduction of vasicine,1936,Journal of the Chemical Society (Resumed),,,,1570,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049176021&partnerID=40&md5=90eb0571f87ea98aed502250621f4c5a,Note,Final,,Scopus,2-s2.0-37049176021
"Narang, K.S., Ray, J.N.",23077880200; 16051184000,The electrolytic reduction of vasicine,1936,Journal of the Chemical Society (Resumed),,,,686,688,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049164873&partnerID=40&md5=9d86174b99f321d549d13e8fcf1a8f90,Article,Final,,Scopus,2-s2.0-37049164873
"Anand, B.",23000472000,Raman effect in dibasic acids in crystalline state,1936,Proceedings of the Indian Academy of Sciences - Section A,4,5,,603,609,,,10.1007/BF03045718,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951500693&partnerID=40&md5=7c6adac57067aca403b9d368337c7bc5,Article,Final,,Scopus,2-s2.0-77951500693
"Joshi, P.C.",35934532800,Errata,1936,Proceedings of the Indian Academy of Sciences - Section B,4,4,,277,,,,10.1007/BF03051411,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951507037&partnerID=40&md5=61cfcccd90a0bee7cb5c193aed037bfd,Erratum,Final,,Scopus,2-s2.0-77951507037
"Luthra, H.R., Vaidhianathan, V.I.",23002045700; 26631305900,Uplift pressures under weirs with three sheet piles,1936,Proceedings of the Indian Academy of Sciences - Section A,4,4,,491,502,,,10.1007/BF03036392,https://www.scopus.com/inward/record.url?eid=2-s2.0-65749320181&partnerID=40&md5=52938eab0a369801deb533dd3be4baa7,Article,Final,,Scopus,2-s2.0-65749320181
"Chowla, S.",35933858000,Pillai's exact formulæ for the number g(n) in waring's problem,1936,Proceedings of the Indian Academy of Sciences - Section A,4,3,,261,,,,10.1007/BF03045348,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951508128&partnerID=40&md5=3cc7a58779f54d5f1893e944cf1db9a8,Article,Final,,Scopus,2-s2.0-77951508128
"Mathur, R.N., Nevgi, M.B.",16650850000; 16651007700,Über den Einfluß der Kristallstruktur auf die diamagnetische Suszeptibilität,1936,Zeitschrift für Physik,100,10-Sep,,615,620,,1,10.1007/BF01336718,https://www.scopus.com/inward/record.url?eid=2-s2.0-34250914030&partnerID=40&md5=8cb8344a26613c53f3b0364f4b3476e3,Article,Final,,Scopus,2-s2.0-34250914030
"Chowla, S.",35933858000,Note on Waring's problem,1936,Proceedings of the Indian Academy of Sciences - Section A,4,2,,173,,,,10.1007/BF03036077,https://www.scopus.com/inward/record.url?eid=2-s2.0-65749317803&partnerID=40&md5=95ceb729bf77883e065267a3ce8ec26e,Article,Final,,Scopus,2-s2.0-65749317803
"Ram, G., Vaidihanathan, V.I.",26630872400; 36109097100,Uplift pressure and design of weirs with two sheet piles,1936,Proceedings of the Indian Academy of Sciences - Section A,4,2,,147,156,,,10.1007/BF03036073,https://www.scopus.com/inward/record.url?eid=2-s2.0-65749314032&partnerID=40&md5=cda986fa43dd5e04f9bb9dad673d1d4b,Article,Final,,Scopus,2-s2.0-65749314032
"Joshi, P.C.",35934532800,Anatomy of the vegetative parts of two tibetan Caryophyllaceae-Arenaria musciformis Wall. and Thylacospermum rupifragum Schrenk.,1936,Proceedings of the Indian Academy of Sciences - Section B,4,1,,52,65,,,10.1007/BF03049740,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951500046&partnerID=40&md5=efbca43949828659ec3cc76f6b7143f4,Article,Final,,Scopus,2-s2.0-77951500046
"Thadani, K.I.",35935775400,Some notes of the incidence of disease and resistance to pathological and other adverse conditions in crops of sind,1936,Proceedings of the Indian Academy of Sciences - Section B,3,6,,470,480,,,10.1007/BF03050814,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951502117&partnerID=40&md5=a93d1edcf12112487fa8fdb3a2f381b1,Article,Final,,Scopus,2-s2.0-77951502117
"Thomas, G.B.",57189123886,Stenosing Tendovaginitis,1936,British Medical Journal,1,3932,,1020,,,,10.1136/bmj.1.3932.1020,https://www.scopus.com/inward/record.url?eid=2-s2.0-84965246978&partnerID=40&md5=e78a4644e09ddb6a2b6378377524d829,Letter,Final,,Scopus,2-s2.0-84965246978
"Ram, G., Vaidhianathan, V.I.",26630872400; 26631305900,The design of falls with reference to uplift pressure,1936,Proceedings of the Indian Academy of Sciences - Section A,3,4,,360,368,,,10.1007/BF03035678,https://www.scopus.com/inward/record.url?eid=2-s2.0-65749316946&partnerID=40&md5=e27315d838617f8801748bca0a2ea4c5,Article,Final,,Scopus,2-s2.0-65749316946
"Yajnik, N.A., Goyle, D.N., Das, I., Jain, J.R.",16051111300; 16663666900; 16663029400; 16665031900,Über den Einfluß des p<inf>H</inf>- Wertes auf die Adsorption aus Lösungen,1936,Kolloid-Zeitschrift,77,1,,99,103,,,10.1007/BF01422152,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347107017&partnerID=40&md5=0abd5f924be6d8ab43d3c628282c6830,Article,Final,,Scopus,2-s2.0-34347107017
"Ram, G., Vaidhianathan, V.I.",26630872400; 26631305900,The design of falls with reference to uplift pressure,1936,Proceedings of the Indian Academy of Sciences - Section A,3,1,,360,368,,,10.1007/BF03046273,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951506241&partnerID=40&md5=95887613a49548b4d18b433a42549cfd,Article,Final,,Scopus,2-s2.0-77951506241
"Joshi, P.C.",35934532800,Contribution to the life-history of Stellaria media L.,1936,Proceedings of the Indian Academy of Sciences - Section B,3,1,,8,22,,,10.1007/BF03047064,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951501016&partnerID=40&md5=2999f415fe1e1b5f2ba8aee3ad804906,Article,Final,,Scopus,2-s2.0-77951501016
"Bhatnagar, S.S., Kapur, P.L., Rajpal, M.D.",55429686600; 16055388600; 16666493200,Kolloidstruktur und Ultrarotabsorptionsspektren,1936,Kolloid-Zeitschrift,77,3,,281,286,,,10.1007/BF01433514,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347119450&partnerID=40&md5=c280d4cf63ce6811e7c7eb8016218316,Article,Final,,Scopus,2-s2.0-34347119450
"Bhatnagar, S.S., Nevgi, M.B., Mathur, R.N.",55429686600; 16651007700; 16650850000,Über den Einfluß der Polymerisation auf die diamagnetische Suszeptibilität,1936,Zeitschrift für Physik,100,2-Jan,,141,144,,,10.1007/BF01337750,https://www.scopus.com/inward/record.url?eid=2-s2.0-34250918601&partnerID=40&md5=5661415fcb1097f87ee051d05e1e1f36,Article,Final,,Scopus,2-s2.0-34250918601
"Dhingra, D.R., Uppal, H.L., Venkataraman, K.",26630655200; 26631251100; 57208848279,Antiseptics and anthelminthics - Part II. A synthesis of 6-benzyl-7-hydroxyflavone and 6-n-hexyl-7-hydroxyflavone,1936,Proceedings of the Indian Academy of Sciences - Section A,3,1,,206,210,,,10.1007/BF03046251,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951502967&partnerID=40&md5=1d2047b6bad7d8502a09802e8011c65a,Article,Final,,Scopus,2-s2.0-77951502967
"Chowla, S.",35933858000,On a trigonometric sum,1937,Proceedings of the Indian Academy of Sciences - Section A,6,5,,291,292,,,10.1007/BF03051496,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951502290&partnerID=40&md5=8c3764ea06ae37270a45dd6db60b2370,Article,Final,,Scopus,2-s2.0-77951502290
"Bhatnagar, S.S., Lessheim, H., Khanna, M.L.",55429686600; 16651051300; 16650656700,The ground-state of the Se<inf>2</inf> molecule,1937,Proceedings of the Indian Academy of Sciences - Section A,6,3,,155,157,,,10.1007/BF03051498,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951500557&partnerID=40&md5=a2e6a2fac424af8ce4ee9e64340b00c8,Article,Final,,Scopus,2-s2.0-77951500557
"Bhatnagar, S.S., Kapur, P.L., Luthra, R.K.",55429686600; 16055388600; 16665182600,Zum Mechanismus des Aktivierungs Vorganges des Kohlenstoffes,1937,Kolloid-Zeitschrift,80,3,,265,268,,,10.1007/BF01518551,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347091930&partnerID=40&md5=8be0996d7d259997097461b87064f6d0,Article,Final,,Scopus,2-s2.0-34347091930
"Singh, J.",35935759200,"Studies in soil bacteria of the subtropical regions-Punjab, North India",1937,Proceedings of the Indian Academy of Sciences - Section B,6,2,,121,129,,,10.1007/BF03051117,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951507448&partnerID=40&md5=5da45caa72ca031738c6b3d3b820e22d,Article,Final,,Scopus,2-s2.0-77951507448
"Auluck, F.C., Chowla, S.",35934094300; 35933858000,"The representation of a large number as a sum of ""almost equal"" squares",1937,Proceedings of the Indian Academy of Sciences - Section A,6,1,,81,82,,4,10.1007/BF03051240,https://www.scopus.com/inward/record.url?eid=2-s2.0-0011282935&partnerID=40&md5=237722599a68fdff80ded7f90ef97ce3,Article,Final,,Scopus,2-s2.0-0011282935
"Chowla, S.",35933858000,Auluck's generalization of the simson line property,1937,Proceedings of the Indian Academy of Sciences - Section A,6,1,,79,80,,,10.1007/BF03051239,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951508309&partnerID=40&md5=59a45b1d583b3563343d53cb43035cc5,Article,Final,,Scopus,2-s2.0-77951508309
"Chowla, I.",35934024400,A new evaluation of the number ?(k) in Waring's problem,1937,Proceedings of the Indian Academy of Sciences - Section A,6,1,,97,103,,2,10.1007/BF03051243,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951506532&partnerID=40&md5=6bd497c2dafe4c553ca5d8f8d70969da,Article,Final,,Scopus,2-s2.0-77951506532
"Chowla, S.",35933858000,On some infinite series involving arithmetical functions,1937,Proceedings of the Indian Academy of Sciences - Section A,5,6,,511,513,,,10.1007/BF03050153,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951508294&partnerID=40&md5=189067f2a57be81701f37ee05dcbc142,Article,Final,,Scopus,2-s2.0-77951508294
"Auluck, F.C., Chowla, S.",35934094300; 35933858000,A property of numbers,1937,Proceedings of the Indian Academy of Sciences - Section A,5,6,,510,,,,10.1007/BF03050152,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951506161&partnerID=40&md5=906b22f35d34e8b4a352e5589183b398,Article,Final,,Scopus,2-s2.0-77951506161
"Chand, H.",35933934800,Study of the fungus flora of the Lahore soils,1937,Proceedings of the Indian Academy of Sciences - Section B,5,6,,324,331,,1,10.1007/BF03048192,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951505462&partnerID=40&md5=9d0315b3eee51f1e515fd92ea0ba9839,Article,Final,,Scopus,2-s2.0-77951505462
"Chowla, S.",35933858000,On some infinite series involving arithmetical functions (II),1937,Proceedings of the Indian Academy of Sciences - Section A,5,6,,514,516,,,10.1007/BF03050154,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951503259&partnerID=40&md5=9dd60f6d9850d671d1642c5c3a8a0649,Article,Final,,Scopus,2-s2.0-77951503259
"Chowla, I.",35934024400,On ?(k) in waring's problem and an analogous function,1937,Proceedings of the Indian Academy of Sciences - Section A,5,3,,269,276,,,10.1007/BF03045845,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951500407&partnerID=40&md5=8b18ee125e7959e9e6a627a07b8e8ff1,Article,Final,,Scopus,2-s2.0-77951500407
"Ram, G.",57190459538,XIII.—SPERMATELEOSIS in the CENTIPEDE RHYSIDA LONGIPES,1937,Journal of the Royal Microscopical Society,57,4,,237,242,,,10.1111/j.1365-2818.1937.tb00816.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84980102616&partnerID=40&md5=680abfed6339cb457b275431bf7af846,Article,Final,,Scopus,2-s2.0-84980102616
"Chowla, S.",35933858000,A theorem of Erdös,1937,Proceedings of the Indian Academy of Sciences - Section A,5,1,,37,39,,1,10.1007/BF03045516,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951506939&partnerID=40&md5=0dfbd5faa5d008bf79c881696a6b19a3,Article,Final,,Scopus,2-s2.0-77951506939
"Chowla, I.",35934024400,On waring's problem for cubes,1937,Proceedings of the Indian Academy of Sciences - Section A,5,1,,1,17,,,10.1007/BF03045511,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951502808&partnerID=40&md5=e9d2a8d8081ba2f045e56215b85a8b40,Article,Final,,Scopus,2-s2.0-77951502808
"Luthra, H.R.",23002045700,An automatic water-regulator,1937,Journal of Scientific Instruments,14,4,407,141,,,,10.1088/0950-7671/14/4/407,https://www.scopus.com/inward/record.url?eid=2-s2.0-36149061822&partnerID=40&md5=52df50afa061b03ad45b850578dfd99d,Article,Final,,Scopus,2-s2.0-36149061822
"Bhatnagar, S.S., Verma, M.R., Anwar-ul-Haq, M.",55429686600; 16667376700; 16663282100,Teilchengröße und magnetische Suszeptibilität,1937,Kolloid-Zeitschrift,78,1,,9,18,,3,10.1007/BF01502904,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347098013&partnerID=40&md5=9e4914c446267f6075942cbb64d8e67d,Article,Final,,Scopus,2-s2.0-34347098013
"Narang, K.S., Ray, J.N., Roy, B.S.",23077880200; 16051184000; 23079035200,Rottlerin. Part I,1937,Journal of the Chemical Society (Resumed),,,,1862,1865,,3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-28144456284&partnerID=40&md5=3e8aa89f6a89ce949aa23e0217b3f43f,Article,Final,,Scopus,2-s2.0-28144456284
"Chowla, I.",35934024400,On the number of solutions of some congruences in two variables,1937,Proceedings of the Indian Academy of Sciences - Section A,5,1,,40,44,,2,10.1007/BF03045517,https://www.scopus.com/inward/record.url?eid=2-s2.0-0039749340&partnerID=40&md5=491981ed7bcbca3a21dea35362a5d505,Article,Final,,Scopus,2-s2.0-0039749340
"Dhingra, D.R., Uppal, I.S., Venkataraman, K.",26630655200; 57190626472; 57208848278,Wetting Agents in Textile Processing—Part I,1937,Journal of the Society of Dyers and Colourists,53,3,,91,100,,,10.1111/j.1478-4408.1937.tb01953.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84981750879&partnerID=40&md5=a7524b1bf934aa8f67a3a0918e92f4cb,Article,Final,,Scopus,2-s2.0-84981750879
"Chopra, R.S.",35934109000,Notes on Indian hepatics - II. Sikkim Himalayas and Bengal,1938,Proceedings of the Indian Academy of Sciences - Section B,8,6,,427,439,,12,10.1007/BF03048485,https://www.scopus.com/inward/record.url?eid=2-s2.0-1842493034&partnerID=40&md5=907cd0b7b0c4c391481ddcfb2eccfea3,Article,Final,,Scopus,2-s2.0-1842493034
"Chowla, S.",35933858000,A remark on g (n),1938,Proceedings of the Indian Academy of Sciences - Section A,8,4,,237,,,,10.1007/BF03045509,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951500297&partnerID=40&md5=b0951df1c2d9994179b839e95fba74da,Article,Final,,Scopus,2-s2.0-77951500297
"Mehra, P.N.",55244196900,"Apogamy in Adiantum lunulatum Burm, part I (morphological)",1938,Proceedings of the Indian Academy of Sciences - Section B,8,3,,192,201,,3,10.1007/BF03048208,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951504060&partnerID=40&md5=7d759bf366fbd877ab331889a362ec93,Article,Final,,Scopus,2-s2.0-77951504060
"Mehra, P.N.",55244196900,The germination of pollen grains in artificial cultures in Ephedra foliata boiss and Ephedra gerardiana wall,1938,Proceedings of the Indian Academy of Sciences - Section B,8,3,,218,230,,4,10.1007/BF03048211,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951500382&partnerID=40&md5=ad6c32e20e5a5368986b98a11cf95dab,Article,Final,,Scopus,2-s2.0-77951500382
"Mehra, P.N.",55244196900,Some abnormalities in the female strobilus of Ginkgo biloba L.,1938,Proceedings of the Indian Academy of Sciences - Section B,8,3,,211,217,,1,10.1007/BF03048210,https://www.scopus.com/inward/record.url?eid=2-s2.0-36849022223&partnerID=40&md5=e80473cc8db64250c6e9b584d2ef1c4f,Article,Final,,Scopus,2-s2.0-36849022223
"Mehra, P.N.",55244196900,Apogamy in Pteris biaurita Linn.,1938,Proceedings of the Indian Academy of Sciences - Section B,8,3,,202,210,,4,10.1007/BF03048209,https://www.scopus.com/inward/record.url?eid=2-s2.0-0041793176&partnerID=40&md5=ab9f606788d32567c4ea4f8d55778fc0,Article,Final,,Scopus,2-s2.0-0041793176
"Chaudhuri, H., Umar, M.",35933989400; 35935671200,Molds of the Punjab-I. - The Aspergilli,1938,Proceedings of the Indian Academy of Sciences - Section B,8,2,,79,92,,2,10.1007/BF03048476,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951508663&partnerID=40&md5=d31a9540f4023f2b49b871aa99149694,Article,Final,,Scopus,2-s2.0-77951508663
"Chaudhuri, H.",35933989400,Molds of the Punjab-II. - The Penicillia,1938,Proceedings of the Indian Academy of Sciences - Section B,8,2,,93,99,,,10.1007/BF03048477,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951505502&partnerID=40&md5=b3e93928ef2ff1b90c140ae9270329bb,Article,Final,,Scopus,2-s2.0-77951505502
"Mehra, P.N.",55244196900,A study of the chromosome number in some Indian members of the family Codoniaceae,1938,Proceedings of the Indian Academy of Sciences - Section B,8,1,,1,7,,2,10.1007/BF03048197,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951505072&partnerID=40&md5=dc9c1bc5711c30ecd811f4fcf951ad80,Article,Final,,Scopus,2-s2.0-77951505072
